idConecta,nomePoPs,nomePais,siglaPais,idPoPsConectado,unidadeMedida,velocidade
106,Helsinki ,Finland,FI,,,
103,London,United Kingdom,UK,,,
69,Amsterdam,Netherlands,NL,73.0,G,5.0
91,Budapest ,Hungary,,92.0,G,5.0
89,Skopje,Macedonia,MK,,,
52,Copiapo,Chile,CL,53.0,M,205.0
22,Teresina,Brazil,,29.0,G,3.0
48,,,CL,67.0,G,1.0
17,Sao Paulo,Brazil,BR,25.0,G,4.0
14,Curitiba,Brazil,BR,17.0,G,10.0
73,Frankfurt,Germany,DE,86.0,G,3.0
108,Riga ,Latvia,LV,,,
93,Lisbon,Portugal,PT,94.0,G,10.0
1,Recife,Brazil,BR,22.0,G,3.0
8,Salvador,,BR,9.0,G,10.0
85,Nicosia,Cyprus,CY,103.0,G,1.0
56,Temuco,Chile,CL,57.0,M,205.0
72,Poznan,Poland,PL,99.0,G,10.0
63,AURA,Chile,CL,,,
95,,Serbia,RS,,,
54,Iquique,Chile,CL,,,
69,Amsterdam,Netherlands,NL,99.0,G,3.0
11,Manaus,Brazil,BR,,,
47,,Chile,CL,62.0,G,1.0
69,Amsterdam,,NL,103.0,G,3.0
66,UMCE,Chile,CL,,,
43,RC-12,,CL,58.0,G,1.0
43,RC-12,Chile,,49.0,G,1.0
48,,,CL,68.0,G,1.0
20,Palmas,Brazil,BR,,,
77,Geneva,Switzerland,CH,78.0,G,5.0
82,Bucharest,Romania,RO,91.0,G,10.0
12,Goiania,Brazil,BR,20.0,G,3.0
78,Milan,Italy,IT,98.0,G,5.0
1,Recife,Brazil,BR,3.0,G,10.0
35,UFRO,Chile,CL,45.0,G,3.0
96,Zagreb ,Croatia,HR,97.0,G,5.0
86,Tel Aviv,Israel,IL,99.0,G,3.0
97,Ljubljana ,Slovenia,SL,98.0,G,5.0
58,Santiago,Chile,CL,,,
51,La Serena,Chile,CL,52.0,M,205.0
46,,,CL,59.0,G,1.0
24,RedCLARA,Brazil,BR,49.0,G,100.0
84,Athens,Greece,GR,98.0,G,10.0
80,,,MD,82.0,G,1.0
26,Americas Light,Brazil,BR,,,
38,UNAP,Chile,CL,54.0,G,6.0
73,,Germany,,85.0,G,1.0
